ID (DOKUNMAYIN),Kategori,Ürün Adı,Boyut (S/M/L veya Standart),Mevcut Reçete Durumu,Hammadde 1,Miktar 1,Hammadde 2,Miktar 2,Hammadde 3,Miktar 3,Hammadde 4,Miktar 4,Hammadde 5,Miktar 5
10,Soğuk Kahveler,Iced Chai Tea Latte,Medium,YOK,,,,,,,,,,
10,Soğuk Kahveler,Iced Chai Tea Latte,Large,YOK,,,,,,,,,,
12,Soğuk Kahveler,Iced Chocolate Cookie Latte,Small,YOK,,,,,,,,,,
12,Soğuk Kahveler,Iced Chocolate Cookie Latte,Medium,YOK,,,,,,,,,,
12,Soğuk Kahveler,Iced Chocolate Cookie Latte,Large,YOK,,,,,,,,,,
2,Soğuk Kahveler,Iced Filtre Kahve,Small,YOK,,,,,,,,,,
2,Soğuk Kahveler,Iced Filtre Kahve,Medium,YOK,,,,,,,,,,
2,Soğuk Kahveler,Iced Filtre Kahve,Large,YOK,,,,,,,,,,
3,Soğuk Kahveler,Iced Latte,Small,YOK,,,,,,,,,,
3,Soğuk Kahveler,Iced Latte,Medium,YOK,,,,,,,,,,
3,Soğuk Kahveler,Iced Latte,Large,YOK,,,,,,,,,,
6,Soğuk Kahveler,Iced Mocha,Small,YOK,,,,,,,,,,
6,Soğuk Kahveler,Iced Mocha,Medium,YOK,,,,,,,,,,
6,Soğuk Kahveler,Iced Mocha,Large,YOK,,,,,,,,,,
5,Soğuk Kahveler,Iced Salted Caramel Latte,Small,YOK,,,,,,,,,,
5,Soğuk Kahveler,Iced Salted Caramel Latte,Medium,YOK,,,,,,,,,,
5,Soğuk Kahveler,Iced Salted Caramel Latte,Large,YOK,,,,,,,,,,
11,Soğuk Kahveler,Iced Toffeenut Latte,Small,YOK,,,,,,,,,,
11,Soğuk Kahveler,Iced Toffeenut Latte,Medium,YOK,,,,,,,,,,
11,Soğuk Kahveler,Iced Toffeenut Latte,Large,YOK,,,,,,,,,,
7,Soğuk Kahveler,Iced White Mocha,Small,YOK,,,,,,,,,,
7,Soğuk Kahveler,Iced White Mocha,Medium,YOK,,,,,,,,,,
7,Soğuk Kahveler,Iced White Mocha,Large,YOK,,,,,,,,,,
28,Soğuk İçecekler,Cool Lime Fresh,Standart,YOK,,,,,,,,,,
29,Soğuk İçecekler,Hibiscus Fresh,Standart,YOK,,,,,,,,,,
30,Soğuk İçecekler,Orange Mango,Standart,YOK,,,,,,,,,,
31,Soğuk İçecekler,Ored Mocca Special,Standart,YOK,,,,,,,,,,
cookie,Syrups,Cookie,Standart,YOK,,,,,,,,,,
custom-syrup-cookie,Syrups,Cookie,Standart,YOK,,,,,,,,,,
hazelnut,Syrups,Hazelnut,Standart,YOK,,,,,,,,,,
custom-syrup-hazelnut,Syrups,Hazelnut,Standart,YOK,,,,,,,,,,
mint,Syrups,Mint,Standart,YOK,,,,,,,,,,
custom-syrup-mint,Syrups,Mint,Standart,YOK,,,,,,,,,,
toffinat,Syrups,Toffinat,Standart,YOK,,,,,,,,,,
custom-syrup-toffinat,Syrups,Toffinat,Standart,YOK,,,,,,,,,,
97,Sütler,Badem Sütü,Standart,YOK,,,,,,,,,,
95,Sütler,Laktozsuz Süt,Standart,VAR,Normal Süt,1000,,,,,,,,
96,Sütler,Normal Süt,Standart,VAR,Normal Süt,1000,,,,,,,,
98,Sütler,Yulaf Sütü,Standart,YOK,,,,,,,,,,
14,Sıcak Kahveler,Americano,Small,YOK,,,,,,,,,,
14,Sıcak Kahveler,Americano,Medium,YOK,,,,,,,,,,
14,Sıcak Kahveler,Americano,Large,YOK,,,,,,,,,,
22,Sıcak Kahveler,Cappuccino,Small,YOK,,,,,,,,,,
22,Sıcak Kahveler,Cappuccino,Medium,YOK,,,,,,,,,,
22,Sıcak Kahveler,Cappuccino,Large,YOK,,,,,,,,,,
17,Sıcak Kahveler,Caramel Latte,Small,YOK,,,,,,,,,,
17,Sıcak Kahveler,Caramel Latte,Medium,YOK,,,,,,,,,,
17,Sıcak Kahveler,Caramel Latte,Large,YOK,,,,,,,,,,
21,Sıcak Kahveler,Caramel Macchiato,Small,YOK,,,,,,,,,,
21,Sıcak Kahveler,Caramel Macchiato,Medium,YOK,,,,,,,,,,
21,Sıcak Kahveler,Caramel Macchiato,Large,YOK,,,,,,,,,,
23,Sıcak Kahveler,Chai Tea Latte,Small,YOK,,,,,,,,,,
23,Sıcak Kahveler,Chai Tea Latte,Medium,YOK,,,,,,,,,,
23,Sıcak Kahveler,Chai Tea Latte,Large,YOK,,,,,,,,,,
25,Sıcak Kahveler,Chocolate Cookie Latte,Small,YOK,,,,,,,,,,
25,Sıcak Kahveler,Chocolate Cookie Latte,Medium,YOK,,,,,,,,,,
25,Sıcak Kahveler,Chocolate Cookie Latte,Large,YOK,,,,,,,,,,
15,Sıcak Kahveler,Filtre Kahve,Small,YOK,,,,,,,,,,
15,Sıcak Kahveler,Filtre Kahve,Medium,YOK,,,,,,,,,,
15,Sıcak Kahveler,Filtre Kahve,Large,YOK,,,,,,,,,,
26,Sıcak Kahveler,Flat White,Small,YOK,,,,,,,,,,
26,Sıcak Kahveler,Flat White,Medium,YOK,,,,,,,,,,
26,Sıcak Kahveler,Flat White,Large,YOK,,,,,,,,,,
16,Sıcak Kahveler,Latte,Small,VAR,Espresso Çekirdeği,9,Normal Süt,180,,,,,,
16,Sıcak Kahveler,Latte,Medium,VAR,Espresso Çekirdeği,18,Normal Süt,315,,,,,,
16,Sıcak Kahveler,Latte,Large,VAR,Espresso Çekirdeği,18,Normal Süt,365,,,,,,
19,Sıcak Kahveler,Mocha,Small,YOK,,,,,,,,,,
19,Sıcak Kahveler,Mocha,Medium,YOK,,,,,,,,,,
19,Sıcak Kahveler,Mocha,Large,YOK,,,,,,,,,,
18,Sıcak Kahveler,Salted Caramel Latte,Small,YOK,,,,,,,,,,
18,Sıcak Kahveler,Salted Caramel Latte,Medium,YOK,,,,,,,,,,
18,Sıcak Kahveler,Salted Caramel Latte,Large,YOK,,,,,,,,,,
27,Sıcak Kahveler,Sıcak Çikolata,Small,YOK,,,,,,,,,,
27,Sıcak Kahveler,Sıcak Çikolata,Medium,YOK,,,,,,,,,,
27,Sıcak Kahveler,Sıcak Çikolata,Large,YOK,,,,,,,,,,
24,Sıcak Kahveler,Toffeenut Latte,Small,YOK,,,,,,,,,,
24,Sıcak Kahveler,Toffeenut Latte,Medium,YOK,,,,,,,,,,
24,Sıcak Kahveler,Toffeenut Latte,Large,YOK,,,,,,,,,,
20,Sıcak Kahveler,White Mocha,Small,YOK,,,,,,,,,,
20,Sıcak Kahveler,White Mocha,Medium,YOK,,,,,,,,,,
20,Sıcak Kahveler,White Mocha,Large,YOK,,,,,,,,,,
94,Tozlar,Frappe Tozu,Standart,YOK,,,,,,,,,,
90,Tozlar,Muz Tozu,Standart,YOK,,,,,,,,,,
92,Tozlar,Salep,Standart,YOK,,,,,,,,,,
93,Tozlar,Sıcak Çikolata Tozu,Standart,YOK,,,,,,,,,,
89,Tozlar,Vanilya Tozu,Standart,YOK,,,,,,,,,,
91,Tozlar,Çikolata Tozu,Standart,YOK,,,,,,,,,,
100,Yan Ürünler,Kurutulmuş Limon,Standart,YOK,,,,,,,,,,
99,Yan Ürünler,Lokum,Standart,YOK,,,,,,,,,,
74,Şuruplar,Beyaz Çikolata Şurubu,Standart,YOK,,,,,,,,,,
73,Şuruplar,Chai Şurubu,Standart,YOK,,,,,,,,,,
69,Şuruplar,Fındık Şurubu,Standart,YOK,,,,,,,,,,
68,Şuruplar,Karamel Şurubu,Standart,YOK,,,,,,,,,,
76,Şuruplar,Menta Şurubu,Standart,YOK,,,,,,,,,,
79,Şuruplar,Mint Şurubu,Standart,YOK,,,,,,,,,,
77,Şuruplar,Muz Şurubu,Standart,YOK,,,,,,,,,,
75,Şuruplar,Nar Şurubu,Standart,YOK,,,,,,,,,,
71,Şuruplar,Toffeenut Şurubu,Standart,YOK,,,,,,,,,,
70,Şuruplar,Vanilya Şurubu,Standart,YOK,,,,,,,,,,
72,Şuruplar,Çikolata Şurubu,Standart,YOK,,,,,,,,,,
78,Şuruplar,Çilek Şurubu,Standart,YOK,,,,,,,,,,
